url_path,tag,cover_image,location,property_name,developer_logo,title,description,m2,Beds,Baths,payment_plan,price
https://www.nawy.com/compound/1224-plage/property/117607-chalet-for-sale-in-plage-with-3-bedrooms-in-sidi-abdel-rahman-by-mountain-view,Resale,https://prod-images.cooingestate.com/processed/inventory/unlockedProperties/117607/a9cdd4a7-cf54-4901-888c-6e84058efa67/high.webp,Sidi Abdel Rahman,"Chalet, Plage",https://prod-images.cooingestate.com/processed/developer/logo_image/6/medium.webp,Chalet for sale in Plage - with 3 bedrooms in Sidi Abdel Rahman by Mountain View.,Chalet for sale in Plage - with 3 bedrooms in Sidi Abdel Rahman by Mountain View.,125,3,2,"408,693 EGP quarterly / 7.5 Years","15,760,804 EGP"
https://www.nawy.com/compound/48-seashell-sidi-abdel-rahman/property/59228-chalet-240m-for-sale-in-seashell-north-coast,Resale,https://prod-images.cooingestate.com/processed/property_image/image/294116/high.webp,Sidi Abdel Rahman,"Chalet, Seashell Sidi Abdel Rahman",https://prod-images.cooingestate.com/processed/developer/logo_image/3/medium.webp,Chalet for sale in Seashell Sidi Abdel Rahman - with 4 bedrooms in Sidi Abdel Rahman by G Developments.,Chalet for sale in Seashell Sidi Abdel Rahman - with 4 bedrooms in Sidi Abdel Rahman by G Developments.,240,4,3,,"24,000,000 EGP"
https://www.nawy.com/compound/90-il-monte-galala/property/117573-chalet-for-sale-in-il-monte-galala-with-3-bedrooms-in-ain-sokhna-by-tatweer-misr,Resale,https://prod-images.cooingestate.com/processed/inventory/unlockedProperties/117573/cb1c79aa-33a5-4a56-bafc-7cb804f9b92b/high.webp,Ain Sokhna,"Chalet, Il Monte Galala",https://prod-images.cooingestate.com/processed/developer/logo_image/33/medium.webp,Chalet for sale in Il Monte Galala - with 3 bedrooms in Ain Sokhna by Tatweer Misr.,Chalet for sale in Il Monte Galala - with 3 bedrooms in Ain Sokhna by Tatweer Misr.,136,3,2,,"6,000,000 EGP"
https://www.nawy.com/compound/935-koun/property/117613-chalet-for-sale-in-koun-with-2-bedrooms-in-ras-el-hekma-by-mabany-edris,Resale,https://prod-images.cooingestate.com/processed/inventory/unlockedProperties/117613/b3fa4227-9de1-4ce7-86e7-68658f62cefa/high.webp,Ras El Hekma,"Chalet, Koun",https://prod-images.cooingestate.com/processed/developer/logo_image/187/medium.webp,Chalet for sale in Koun - with 2 bedrooms in Ras El Hekma by Mabany Edris.,Chalet for sale in Koun - with 2 bedrooms in Ras El Hekma by Mabany Edris.,88,2,2,"322,146 EGP quarterly / 6.5 Years","10,851,265 EGP"
https://www.nawy.com/compound/1161-summer/property/86778-chalet-for-sale-in-summer,Resale,https://prod-images.cooingestate.com/processed/property_image/image/435985/high.webp,Sidi Heneish,"Chalet, Summer",https://prod-images.cooingestate.com/processed/developer/logo_image/191/medium.webp,Chalet for sale in Summer  - with 2 bedrooms in Sidi Heneish by Al Ahly Sabbour Developments.,Chalet for sale in Summer  - with 2 bedrooms in Sidi Heneish by Al Ahly Sabbour Developments.,95,2,2,"36,640 EGP monthly / 12 Years","9,527,380 EGP"
https://www.nawy.com/compound/232-el-masyaf/property/72172-Chalet-for-sale-in-El%20Masyaf%20-with-5-bedrooms-in-Ras%20El%20Hekma-by-M%20Squared,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/M%20Squared/elmasyaf/staggerd%20chalet/high.webp,Ras El Hekma,"Chalet, El Masyaf",https://prod-images.cooingestate.com/processed/developer/logo_image/66/medium.webp,Chalet for sale in El Masyaf  - with 1 bedroom in Ras El Hekma by M Squared.,Chalet for sale in El Masyaf  - with 1 bedroom in Ras El Hekma by M Squared.,83,1,2,,"12,737,554 EGP"
https://www.nawy.com/compound/452-d-bay/property/82720-chalet-for-sale-in-d-bay,Resale,https://prod-images.cooingestate.com/processed/property_image/image/414564/high.webp,Al Dabaa,"Chalet, D-Bay",https://prod-images.cooingestate.com/processed/developer/logo_image/33/medium.webp,Chalet for sale in D-Bay  - with 1 bedroom in Al Dabaa by Tatweer Misr.,Chalet for sale in D-Bay  - with 1 bedroom in Al Dabaa by Tatweer Misr.,70,1,1,"93,600 EGP monthly / 10 Years","9,637,000 EGP"
https://www.nawy.com/compound/1479-geo-the-med/property/60103-Chalet-for-sale-in-Geo%20The%20Med-with-5-bedrooms-in-Ras%20El%20Hekma-by-People%20&%20Places,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/People%20Places/geothemed/Screenshot%202026-02-01%20114556/high.webp,Ras El Hekma,"Chalet, Geo The Med",https://prod-images.cooingestate.com/processed/developer/logo_image/225/medium.webp,Chalet for sale in Geo The Med - with 3 bedrooms in Ras El Hekma by People & Places.,Chalet for sale in Geo The Med - with 3 bedrooms in Ras El Hekma by People & Places.,157,3,4,"472,838 EGP quarterly / 8 Years","16,812,000 EGP"
https://www.nawy.com/compound/314-downtown-new-alamein/property/82585-chalet-for-sale-in-downtown-alamein,Resale,https://prod-images.cooingestate.com/processed/property_image/image/413638/high.webp,Al Alamein,"Chalet, Downtown New Alamein",https://prod-images.cooingestate.com/processed/developer/logo_image/74/medium.webp,Chalet for sale in Downtown New Alamein - with 2 bedrooms in Al Alamein by City Edge Developments.,Chalet for sale in Downtown New Alamein - with 2 bedrooms in Al Alamein by City Edge Developments.,192,2,3,"71,610 EGP monthly / 10 Years","10,885,000 EGP"
https://www.nawy.com/compound/84-fouka-bay/property/89712-chalet-for-sale-in-fouka-bay,Resale,https://prod-images.cooingestate.com/processed/property_image/image/453187/high.webp,Ras El Hekma,"Chalet, Fouka Bay",https://prod-images.cooingestate.com/processed/developer/logo_image/33/medium.webp,Chalet for sale in Fouka Bay - with 2 bedrooms in Ras El Hekma by Tatweer Misr.,Chalet for sale in Fouka Bay - with 2 bedrooms in Ras El Hekma by Tatweer Misr.,95,2,2,"105,761 EGP monthly / 10 Years","15,400,000 EGP"
