url_path,tag,cover_image,location,property_name,developer_logo,title,description,m2,Beds,Baths,payment_plan,price
https://www.nawy.com/compound/1982-The%20Gray%20Residences-Hills%20of%20One/property/114723-Loft-for-sale-in-The%20Gray%20Residences-Hills%20of%20One-with-23-bedrooms-in-New%20Zayed-by-People%20&%20Places,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/People%20Places/thegrayresidenceshillsofone/Screenshot%202026-02-08%20171413/high.webp,New Zayed,"Loft, The Gray Residences-Hills of One",https://prod-images.cooingestate.com/processed/developer/logo_image/225/medium.webp,Loft for sale in The Gray Residences-Hills of One - with 3 bedrooms in New Zayed by People & Places.,Loft for sale in The Gray Residences-Hills of One - with 3 bedrooms in New Zayed by People & Places.,175,3,4,"787,669 EGP quarterly / 8 Years","28,006,000 EGP"
https://www.nawy.com/compound/1876-loft-pyramids-heights/property/106344-Loft-for-sale-in-Loft-Pyramids%20Heights-with-23-bedrooms-in-El%20Sheikh%20Zayed-by-ADD%20Properties,,https://prod-images.cooingestate.com/processed/inventory/brochure_images//loftpyramidsheights/Pyramids_Heightse90b3e4b-34a8-4f8f-9eae-df39402273ab/high.webp,El Sheikh Zayed,"Loft, Loft-Pyramids Heights",https://prod-images.cooingestate.com/processed/developer/logo_image/433/medium.webp,Loft for sale in Loft-Pyramids Heights - with 3 bedrooms in El Sheikh Zayed by ADD Properties.,Loft for sale in Loft-Pyramids Heights - with 3 bedrooms in El Sheikh Zayed by ADD Properties.,228,3,4,"1,147,925 EGP quarterly / 5 Years","27,010,000 EGP"
https://www.nawy.com/compound/1468-rivette-amwaj/property/76607-Loft-for-sale-in-Rivette%20-%20Amwaj%20-with-23-bedrooms-in-Sidi%20Abdel%20Rahman-by-Melee%20Development,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Melee%20Development/rivetteamwaj/Rivette_-_AmwajScreenshot_2025-02-16_150954/high.webp,Sidi Abdel Rahman,"Loft, Rivette - Amwaj",https://prod-images.cooingestate.com/processed/developer/logo_image/342/medium.webp,Loft for sale in Rivette - Amwaj  - with 1 bedroom in Sidi Abdel Rahman by Melee Development.,Loft for sale in Rivette - Amwaj  - with 1 bedroom in Sidi Abdel Rahman by Melee Development.,79,1,2,"268,594 EGP quarterly / 8 Years","9,550,000 EGP"
https://www.nawy.com/compound/1968-Can%20Limon%20-%20Kai%20Sokhna/property/112649-loft-roof-loft-1-bedroom-for-sale-in-can-limon---kai-sokhna-by-misr-italia-properties,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Misr%20Italia%20Properties/canlimonkaisokhna/Screenshot%202026-01-15%20171359/high.webp,Ain Sokhna,"Loft, Can Limon - Kai Sokhna",https://prod-images.cooingestate.com/processed/developer/logo_image/55/medium.webp,Loft for sale in Can Limon - Kai Sokhna - with 1 bedroom in Ain Sokhna by Misr Italia Properties.,Loft for sale in Can Limon - Kai Sokhna - with 1 bedroom in Ain Sokhna by Misr Italia Properties.,109,1,2,"298,125 EGP quarterly / 8 Years","10,600,000 EGP"
https://www.nawy.com/compound/1003-ivoire-west/property/112070-Loft-for-sale-in-Ivoire%20West-with-23-bedrooms-in-El%20Sheikh%20Zayed-by-PRE%20Developments,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/PRE%20Developments/ivoirewest/Apartmentivoire_west___1_/high.webp,El Sheikh Zayed,"Loft, Ivoire West",https://prod-images.cooingestate.com/processed/developer/logo_image/111/medium.webp,Loft for sale in Ivoire West - with 3 bedrooms in El Sheikh Zayed by PRE Developments.,Loft for sale in Ivoire West - with 3 bedrooms in El Sheikh Zayed by PRE Developments.,233,3,3,"Starting From 430,884 EGP quarterly / 8 Years","14,807,000 EGP"
https://www.nawy.com/compound/810-le-gray-beach-hotel-and-residences/property/72201-Loft-for-sale-in-Le%20Gray%20Beach%20Hotel%20and%20Residences-with-23-bedrooms-in-Ras%20El%20Hekma-by-People%20&%20Places,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/People%20Places/legraybeachhotelandresidences/default1/high.webp,Ras El Hekma,"Loft, Le Gray Beach Hotel and Residences",https://prod-images.cooingestate.com/processed/developer/logo_image/225/medium.webp,Loft for sale in Le Gray Beach Hotel and Residences - with 3 bedrooms in Ras El Hekma by People & Places.,Loft for sale in Le Gray Beach Hotel and Residences - with 3 bedrooms in Ras El Hekma by People & Places.,209,3,4,"819,703 EGP quarterly / 8 Years","29,145,000 EGP"
https://www.nawy.com/compound/1876-loft-pyramids-heights/property/106347-Loft-for-sale-in-Loft-Pyramids%20Heights-with-23-bedrooms-in-El%20Sheikh%20Zayed-by-ADD%20Properties,,https://prod-images.cooingestate.com/processed/inventory/brochure_images//loftpyramidsheights/Pyramids_Heights02c19502-ec50-45e6-9e4b-13fbdfaf4a81/high.webp,El Sheikh Zayed,"Loft, Loft-Pyramids Heights",https://prod-images.cooingestate.com/processed/developer/logo_image/433/medium.webp,Loft for sale in Loft-Pyramids Heights - with 4 bedrooms in El Sheikh Zayed by ADD Properties.,Loft for sale in Loft-Pyramids Heights - with 4 bedrooms in El Sheikh Zayed by ADD Properties.,299,4,5,"1,590,478 EGP quarterly / 5 Years","37,423,000 EGP"
https://www.nawy.com/compound/1992-Club%20Yard-O%20West/property/114759-Loft-for-sale-in-Club%20Yard-O%20West-with-23-bedrooms-in-6th%20of%20October%20City-by-Orascom%20Development%20Egypt,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Orascom%20Development%20Egypt/clubyardowest/Screenshot%202026-02-09%20000220/high.webp,6th of October City,"Loft, Club Yard-O West",https://prod-images.cooingestate.com/processed/developer/logo_image/35/medium.webp,Loft for sale in Club Yard-O West - with 3 bedrooms in 6th of October City by Orascom Development Egypt.,Loft for sale in Club Yard-O West - with 3 bedrooms in 6th of October City by Orascom Development Egypt.,220,3,3,"644,786 EGP quarterly / 9 Years","24,434,000 EGP"
https://www.nawy.com/compound/1578-saada-boutique/property/105364-Loft-for-sale-in-Saada%20Boutique-with-23-bedrooms-in-New%20Cairo-by-Horizon%20Egypt%20Development,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Horizon%20Egypt%20Development/saadaboutique/Screenshot%202025-09-03%20161917/high.webp,New Cairo,"Loft, Saada Boutique",https://prod-images.cooingestate.com/processed/developer/logo_image/325/medium.webp,Loft for sale in Saada Boutique - with 2 bedrooms in New Cairo by Horizon Egypt Development.,Loft for sale in Saada Boutique - with 2 bedrooms in New Cairo by Horizon Egypt Development.,150,2,3,"414,450 EGP quarterly / 8 Years","14,736,000 EGP"
https://www.nawy.com/compound/1637-the-village-views/property/93391-Loft-for-sale-in-The%20Village%20Views-with-23-bedrooms-in-El%20Sheikh%20Zayed-by-Ora%20Developers,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Ora%20Developers/thevillageviews/zed%20pic%20555/high.webp,El Sheikh Zayed,"Loft, The Village Views",https://prod-images.cooingestate.com/processed/developer/logo_image/85/medium.webp,Loft for sale in The Village Views - with 1 bedroom in El Sheikh Zayed by Ora Developers.,Loft for sale in The Village Views - with 1 bedroom in El Sheikh Zayed by Ora Developers.,124,1,2,"346,523 EGP quarterly / 10 Years","15,401,000 EGP"
