url_path,tag,cover_image,location,property_name,developer_logo,title,description,m2,Beds,Baths,payment_plan,price
https://www.nawy.com/compound/864-boho-el-sokhna/property/117600-studio-for-sale-in-boho-el-sokhna-with-1-bedrooms-in-ain-sokhna-by-atric-developments,Resale,https://prod-images.cooingestate.com/processed/inventory/unlockedProperties/117600/4b3d2d3a-bee6-4f60-afa2-5bf610a66c0c/high.webp,Ain Sokhna,"Studio, Boho El Sokhna",https://prod-images.cooingestate.com/processed/developer/logo_image/291/medium.webp,Studio for sale in Boho El Sokhna - with 1 bedroom in Ain Sokhna by Atric Developments.,Studio for sale in Boho El Sokhna - with 1 bedroom in Ain Sokhna by Atric Developments.,49,1,1,"169,725 EGP quarterly / 6.5 Years","6,208,550 EGP"
https://www.nawy.com/compound/1364-noi/property/117589-studio-for-sale-in-noi,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Urbnlanes%20Development/noi/Story/high.webp,6th settlement,"Studio, Noi",https://prod-images.cooingestate.com/processed/developer/logo_image/204/medium.webp,Studio for sale in Noi - with in 6th settlement by Urbnlanes Development.,Studio for sale in Noi - with in 6th settlement by Urbnlanes Development.,61,,1,"249,696 EGP quarterly / 8 Years","7,990,268 EGP"
https://www.nawy.com/compound/274-zed/property/117550-studio-for-sale-in-zed-with-1-bedrooms-in-el-sheikh-zayed-by-ora-developers,Resale,https://prod-images.cooingestate.com/processed/inventory/unlockedProperties/117550/25fb3f10-4de3-4ecf-a7d3-39e6d3f9b1b3/high.webp,El Sheikh Zayed,"Studio, ZED",https://prod-images.cooingestate.com/processed/developer/logo_image/85/medium.webp,Studio for sale in ZED  - with 1 bedroom in El Sheikh Zayed by Ora Developers.,Studio for sale in ZED  - with 1 bedroom in El Sheikh Zayed by Ora Developers.,57,1,1,"48,913 EGP quarterly / 4.6 Years","5,000,000 EGP"
https://www.nawy.com/compound/1364-noi/property/117588-studio-for-sale-in-noi,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Urbnlanes%20Development/noi/Story/high.webp,6th settlement,"Studio, Noi",https://prod-images.cooingestate.com/processed/developer/logo_image/204/medium.webp,Studio for sale in Noi - with in 6th settlement by Urbnlanes Development.,Studio for sale in Noi - with in 6th settlement by Urbnlanes Development.,59,,1,"241,509 EGP quarterly / 8 Years","7,728,292 EGP"
https://www.nawy.com/compound/1198-southmed/property/117551-studio-for-sale-in-southmed-with-1-bedrooms-in-al-dabaa-by-talaat-moustafa-group-(tmg)-holding,Resale,https://prod-images.cooingestate.com/processed/inventory/unlockedProperties/117551/06783e99-5430-4fb6-a2b6-35ac66026405/high.webp,Al Dabaa,"Studio, Southmed",https://prod-images.cooingestate.com/processed/developer/logo_image/69/medium.webp,Studio for sale in Southmed - with 1 bedroom in Al Dabaa by Talaat Moustafa Group (TMG) Holding.,Studio for sale in Southmed - with 1 bedroom in Al Dabaa by Talaat Moustafa Group (TMG) Holding.,53,1,1,"150,510 EGP quarterly / 9.8 Years","7,900,000 EGP"
https://www.nawy.com/compound/1108-notion/property/49221-studio-for-sale-in-notion-with-1-bedroom-in-new-cairo-by-town-writers,,https://prod-images.cooingestate.com/processed/property_image/image/239699/high.webp,New Cairo,"Studio, Notion",https://prod-images.cooingestate.com/processed/developer/logo_image/218/medium.webp,Studio for sale in Notion - with in New Cairo by Town Writers.,Studio for sale in Notion - with in New Cairo by Town Writers.,44,,1,"63,113 EGP quarterly / 10 Years","2,805,000 EGP"
https://www.nawy.com/compound/1001-il-latini-city-edge/property/95049-studio-for-sale-in-il-latini-city-edge,Resale,https://prod-images.cooingestate.com/processed/property_image/image/480956/high.webp,Al Alamein,"Studio, Il Latini City Edge",https://prod-images.cooingestate.com/processed/developer/logo_image/74/medium.webp,Studio for sale in Il Latini City Edge - with 1 bedroom in Al Alamein by City Edge Developments.,Studio for sale in Il Latini City Edge - with 1 bedroom in Al Alamein by City Edge Developments.,66,1,1,"11,930 EGP monthly / 12 Years","4,748,825 EGP"
https://www.nawy.com/compound/713-skyline/property/50971-studio-for-sale-in-skyline-in-new-cairo-by-morshedy-group,,https://prod-images.cooingestate.com/processed/property_image/image/347143/high.webp,Maadi,"Studio, Skyline",https://prod-images.cooingestate.com/processed/developer/logo_image/98/medium.webp,Studio for sale in Skyline - with in Maadi by Morshedy Group.,Studio for sale in Skyline - with in Maadi by Morshedy Group.,40,,1,"68,020 EGP quarterly / 10 Years","2,864,000 EGP"
https://www.nawy.com/compound/223-badya/property/45242-studio-for-sale-in-badya-october,Resale,https://prod-images.cooingestate.com/processed/property_image/image/221576/high.webp,October Gardens,"Studio, Badya",https://prod-images.cooingestate.com/processed/developer/logo_image/16/medium.webp,Studio for sale in Badya  - with 1 bedroom in October Gardens by Palm Hills Developments.,Studio for sale in Badya  - with 1 bedroom in October Gardens by Palm Hills Developments.,60,1,1,"25,000 EGP monthly / 10 Years","4,200,000 EGP"
https://www.nawy.com/compound/1984-Marina%20Towers%20-%20IL%20Monte%20Galala/property/115632-studio-for-sale-in-marina-towers---il-monte-galala-by-tatweer-misr,Launch,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Tatweer%20Misr/marinatowersilmontegalala/Screenshot%202026-02-15%20171239/high.webp,Ain Sokhna,"Studio, Marina Towers - IL Monte Galala",https://prod-images.cooingestate.com/processed/developer/logo_image/33/medium.webp,Studio for sale in Marina Towers - IL Monte Galala - with 1 bedroom in Ain Sokhna by Tatweer Misr.,Studio for sale in Marina Towers - IL Monte Galala - with 1 bedroom in Ain Sokhna by Tatweer Misr.,60,1,1,"170,000 EGP quarterly / 10 Years","8,000,000 EGP"
