url_path,tag,cover_image,location,property_name,developer_logo,title,description,m2,Beds,Baths,payment_plan,price
https://www.nawy.com/compound/614-blanca/property/7995-blanca-grand-cabana,,https://prod-images.cooingestate.com/processed/property_image/image/93636/high.webp,Somabay,"Cabin, Blanca",https://prod-images.cooingestate.com/processed/developer/logo_image/12/medium.webp,Cabin for sale in Blanca - with 2 bedrooms in Somabay by Somabay.,Cabin for sale in Blanca - with 2 bedrooms in Somabay by Somabay.,138,2,1,"1,928,571 EGP quarterly / 7 Years","60,000,000 EGP"
https://www.nawy.com/compound/1964-Mesca%20Edition/property/112306-Cabin-for-sale-in-Mesca%20Edition-with-11-bedrooms-in-Somabay-by-Somabay,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Somabay/mescaedition/page_11_img_0/high.webp,Somabay,"Cabin, Mesca Edition",https://prod-images.cooingestate.com/processed/developer/logo_image/12/medium.webp,Cabin for sale in Mesca Edition - with 1 bedroom in Somabay by Somabay.,Cabin for sale in Mesca Edition - with 1 bedroom in Somabay by Somabay.,69,1,1,"803,571 EGP quarterly / 7 Years","30,000,000 EGP"
https://www.nawy.com/compound/1353-m-residence/property/104367-Cabin-for-sale-in-M%20Residence-with-11-bedrooms-in-Ain%20Sokhna-by-Tatweer%20Misr,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Tatweer%20Misr/mresidence/m%20residence%205/high.webp,Ain Sokhna,"Cabin, M Residence",https://prod-images.cooingestate.com/processed/developer/logo_image/33/medium.webp,Cabin for sale in M Residence - with 1 bedroom in Ain Sokhna by Tatweer Misr.,Cabin for sale in M Residence - with 1 bedroom in Ain Sokhna by Tatweer Misr.,45,1,1,"157,127 EGP quarterly / 8 Years","5,349,000 EGP"
https://www.nawy.com/compound/1156-gaia-cabanas/property/82529-cabin-for-sale-in-gaia-cabanas,Resale,https://prod-images.cooingestate.com/processed/property_image/image/413267/high.webp,Ras El Hekma,"Cabin, Gaia Cabanas",https://prod-images.cooingestate.com/processed/developer/logo_image/342/medium.webp,Cabin for sale in Gaia Cabanas  - with 1 bedroom in Ras El Hekma by Melee Development.,Cabin for sale in Gaia Cabanas  - with 1 bedroom in Ras El Hekma by Melee Development.,40,1,1,"182,478 EGP monthly / 6 Years","14,740,000 EGP"
https://www.nawy.com/compound/1466-hacienda-blue/property/92936-Cabin-for-sale-in-Hacienda%20Blue-with-11-bedrooms-in-Al%20Dabaa-by-Palm%20Hills%20Developments,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Palm%20Hills%20Developments/haciendablue/Hacienda%20blue%20pic%20Cabin/high.webp,Al Dabaa,"Cabin, Hacienda Blue",https://prod-images.cooingestate.com/processed/developer/logo_image/16/medium.webp,Cabin for sale in Hacienda Blue - with in Al Dabaa by Palm Hills Developments.,Cabin for sale in Hacienda Blue - with in Al Dabaa by Palm Hills Developments.,43,,1,"Starting From 129,484 EGP monthly / 12 Years","19,627,000 EGP"
https://www.nawy.com/compound/761-the-med/property/56669-serviced-apartment-for-sale-in-the-med-ras-el-hekma-north-coast,Resale,https://prod-images.cooingestate.com/processed/property_image/image/598539/high.webp,Ras El Hekma,"Cabin, The Med",https://prod-images.cooingestate.com/processed/developer/logo_image/225/medium.webp,Cabin for sale in The Med  - with 1 bedroom in Ras El Hekma by People & Places.,Cabin for sale in The Med  - with 1 bedroom in Ras El Hekma by People & Places.,54,1,1,"132,364 EGP monthly / 5 Years","20,213,700 EGP"
https://www.nawy.com/compound/1156-gaia-cabanas/property/103423-Cabin-for-sale-in-Gaia%20Cabanas%20-with-11-bedrooms-in-Ras%20El%20Hekma-by-Melee%20Development,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Melee%20Development/gaiacabanas/Screenshot%202025-10-15%20161313/high.webp,Ras El Hekma,"Cabin, Gaia Cabanas",https://prod-images.cooingestate.com/processed/developer/logo_image/342/medium.webp,Cabin for sale in Gaia Cabanas  - with in Ras El Hekma by Melee Development.,Cabin for sale in Gaia Cabanas  - with in Ras El Hekma by Melee Development.,38,,1,"345,938 EGP quarterly / 8 Years","12,300,000 EGP"
https://www.nawy.com/compound/1064-arc-soma-bay/property/44108-apartment-for-sale-in-arc-soma-bay-with-3-bedrooms-in-el-gouna-by-somabay,,https://prod-images.cooingestate.com/processed/property_image/image/215559/high.webp,Somabay,"Cabin, ARC- Soma Bay",https://prod-images.cooingestate.com/processed/developer/logo_image/12/medium.webp,Cabin for sale in ARC- Soma Bay - with 3 bedrooms in Somabay by Somabay.,Cabin for sale in ARC- Soma Bay - with 3 bedrooms in Somabay by Somabay.,151,3,3,"896,786 EGP quarterly / 7 Years","27,900,000 EGP"
https://www.nawy.com/compound/1981-Kin%20Island-Crysta/property/112005-Cabin-for-sale-in-Kin%20Island-Crysta-with-11-bedrooms-in-Sidi%20Abdel%20Rahman-by-Mountain%20View,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Mountain%20View/kinislandcrysta/high%202/high.webp,Sidi Abdel Rahman,"Cabin, Kin Island-Crysta",https://prod-images.cooingestate.com/processed/developer/logo_image/6/medium.webp,Cabin for sale in Kin Island-Crysta - with in Sidi Abdel Rahman by Mountain View.,Cabin for sale in Kin Island-Crysta - with in Sidi Abdel Rahman by Mountain View.,50,,1,"575,021 EGP quarterly / 8 Years","20,445,174 EGP"
https://www.nawy.com/compound/1156-gaia-cabanas/property/104814-Cabin-for-sale-in-Gaia%20Cabanas%20-with-11-bedrooms-in-Ras%20El%20Hekma-by-Melee%20Development,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Melee%20Development/gaiacabanas/Screenshot%202025-10-15%20161358/high.webp,Ras El Hekma,"Cabin, Gaia Cabanas",https://prod-images.cooingestate.com/processed/developer/logo_image/342/medium.webp,Cabin for sale in Gaia Cabanas  - with in Ras El Hekma by Melee Development.,Cabin for sale in Gaia Cabanas  - with in Ras El Hekma by Melee Development.,76,,1,"686,251 EGP quarterly / 8 Years","24,400,028 EGP"
https://www.nawy.com/compound/231-north-edge-new-alamein/property/69176-cabin-for-sale-in-north-edge-new-alamein,Resale,https://prod-images.cooingestate.com/processed/property_image/image/353492/high.webp,Al Alamein,"Cabin, North Edge New Alamein",https://prod-images.cooingestate.com/processed/developer/logo_image/74/medium.webp,Cabin for sale in North Edge New Alamein - with 1 bedroom in Al Alamein by City Edge Developments.,Cabin for sale in North Edge New Alamein - with 1 bedroom in Al Alamein by City Edge Developments.,116,1,1,"44,792 EGP monthly / 4 Years","15,000,000 EGP"
https://www.nawy.com/compound/70-hacienda-white/property/88442-cabin-for-sale-in-hacienda-white,Resale,https://prod-images.cooingestate.com/processed/property_image/image/444960/high.webp,Sidi Abdel Rahman,"Cabin, Hacienda White",https://prod-images.cooingestate.com/processed/developer/logo_image/16/medium.webp,Cabin for sale in Hacienda White - with 1 bedroom in Sidi Abdel Rahman by Palm Hills Developments.,Cabin for sale in Hacienda White - with 1 bedroom in Sidi Abdel Rahman by Palm Hills Developments.,43,1,1,,"9,500,000 EGP"
https://www.nawy.com/compound/1981-Kin%20Island-Crysta/property/112006-Cabin-for-sale-in-Kin%20Island-Crysta-with-11-bedrooms-in-Sidi%20Abdel%20Rahman-by-Mountain%20View,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Mountain%20View/kinislandcrysta/high%202/high.webp,Sidi Abdel Rahman,"Cabin, Kin Island-Crysta",https://prod-images.cooingestate.com/processed/developer/logo_image/6/medium.webp,Cabin for sale in Kin Island-Crysta - with 1 bedroom in Sidi Abdel Rahman by Mountain View.,Cabin for sale in Kin Island-Crysta - with 1 bedroom in Sidi Abdel Rahman by Mountain View.,60,1,1,"239,294 EGP quarterly / 9 Years","9,571,744 EGP"
https://www.nawy.com/compound/1156-gaia-cabanas/property/57439-cabin-for-sale-in-gaia-cabanas-north-coast,Resale,https://prod-images.cooingestate.com/processed/property_image/image/283833/high.webp,Ras El Hekma,"Cabin, Gaia Cabanas",https://prod-images.cooingestate.com/processed/developer/logo_image/342/medium.webp,Cabin for sale in Gaia Cabanas  - with 1 bedroom in Ras El Hekma by Melee Development.,Cabin for sale in Gaia Cabanas  - with 1 bedroom in Ras El Hekma by Melee Development.,40,1,1,,"13,325,000 EGP"
