url_path,tag,cover_image,location,property_name,developer_logo,title,description,m2,Beds,Baths,payment_plan,price
https://www.nawy.com/compound/1297-marina-8-by-the-lake/property/117583-Family%20House-for-sale-in-Marina%208%20By%20The%20Lake-with-12-bedrooms-in-North%20Coast-Sahel%20-by-Saudi%20Egyptian%20Developers%20(SED),,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Saudi%20Egyptian%20Developer/marina8bythelake/Screenshot_2025-08-06_143934/high.webp,North Coast-Sahel,"Family House, Marina 8 By The Lake",https://prod-images.cooingestate.com/processed/developer/logo_image/87/medium.webp,Family House for sale in Marina 8 By The Lake - with 4 bedrooms in North Coast-Sahel  by Saudi Egyptian Developers (SED).,Family House for sale in Marina 8 By The Lake - with 4 bedrooms in North Coast-Sahel  by Saudi Egyptian Developers (SED).,231,4,4,"235,255 EGP quarterly / 12 Years","13,285,000 EGP"
https://www.nawy.com/compound/1297-marina-8-by-the-lake/property/117582-Family%20House-for-sale-in-Marina%208%20By%20The%20Lake-with-12-bedrooms-in-North%20Coast-Sahel%20-by-Saudi%20Egyptian%20Developers%20(SED),,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Saudi%20Egyptian%20Developer/marina8bythelake/Screenshot_2025-08-06_143934/high.webp,North Coast-Sahel,"Family House, Marina 8 By The Lake",https://prod-images.cooingestate.com/processed/developer/logo_image/87/medium.webp,Family House for sale in Marina 8 By The Lake - with 5 bedrooms in North Coast-Sahel  by Saudi Egyptian Developers (SED).,Family House for sale in Marina 8 By The Lake - with 5 bedrooms in North Coast-Sahel  by Saudi Egyptian Developers (SED).,199,5,5,"227,286 EGP quarterly / 12 Years","12,835,000 EGP"
https://www.nawy.com/compound/818-prk-vie/property/110175-Administrative-for-sale-in-Prk%20Vie-with-47-bedrooms-in-El%20Lotus-by-Upwyde%20Developments,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Upwyde%20Developments/prkvie/prk%20vie/high.webp,El Lotus,"Administrative, Prk Vie",https://prod-images.cooingestate.com/processed/developer/logo_image/144/medium.webp,Administrative for sale in Prk Vie - with in El Lotus by Upwyde Developments.,Administrative for sale in Prk Vie - with in El Lotus by Upwyde Developments.,53,,,"Starting From 212,265 EGP quarterly / 10 Years","9,434,000 EGP"
https://www.nawy.com/compound/1270-radix-agile/property/72961-office-for-sale-in-radix-agile-in-new-capital-city-by-radix-development,,https://prod-images.cooingestate.com/processed/property_image/image/366967/high.webp,New Capital City,"Administrative, Radix Agile",https://prod-images.cooingestate.com/processed/developer/logo_image/293/medium.webp,Administrative for sale in Radix Agile - with in New Capital City by Radix Development.,Administrative for sale in Radix Agile - with in New Capital City by Radix Development.,40,,,"86,724 EGP quarterly / 10 Years","3,854,400 EGP"
https://www.nawy.com/compound/1901-kor/property/110306-administrative-for-sale-in-kor-by-arabia-holding,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Arabia%20Holding/kor/KOR%2010/high.webp,New Capital City,"Administrative, KOR",https://prod-images.cooingestate.com/processed/developer/logo_image/68/medium.webp,Administrative for sale in KOR - with in New Capital City by Arabia Holding.,Administrative for sale in KOR - with in New Capital City by Arabia Holding.,134,,,"150,341 EGP quarterly / 11 Years","7,350,000 EGP"
https://www.nawy.com/compound/1150-rock-capital/property/86095-Administrative-for-sale-in-Rock%20Capital-with-47-bedrooms-in-New%20Capital%20City-by-Rock%20developments,,https://prod-images.cooingestate.com/processed/inventory/brochure_images//rockcapital/ROCK%20CAPITAL%203%201/high.webp,New Capital City,"Administrative, Rock Capital",https://prod-images.cooingestate.com/processed/developer/logo_image/447/medium.webp,Administrative for sale in Rock Capital - with in New Capital City by Rock developments.,Administrative for sale in Rock Capital - with in New Capital City by Rock developments.,633,,,"5,029,890 EGP quarterly / 6 Years","120,717,367 EGP"
https://www.nawy.com/compound/681-levels-business-tower/property/12200-levels-tower-office,,https://www.nawy.com/assets/images/common/broken.webp,New Capital City,"Administrative, Levels Business Tower",https://prod-images.cooingestate.com/processed/developer/logo_image/204/medium.webp,Administrative for sale in Levels Business Tower - with in New Capital City by Urbnlanes Development.,Administrative for sale in Levels Business Tower - with in New Capital City by Urbnlanes Development.,51,,,"279,672 EGP quarterly / 8 Years","9,943,878 EGP"
https://www.nawy.com/compound/807-capital-avenue/property/98583-office-for-sale-in-capital-avenue-in-new-capital-city-by-sky-ad-developments,,https://prod-images.cooingestate.com/processed/property_image/image/530136/high.webp,New Capital City,"Administrative, Capital avenue",https://prod-images.cooingestate.com/processed/developer/logo_image/121/medium.webp,Administrative for sale in Capital avenue - with in New Capital City by Sky AD Developments.,Administrative for sale in Capital avenue - with in New Capital City by Sky AD Developments.,54,,,"41,645 EGP monthly / 10 Years","5,615,000 EGP"
https://www.nawy.com/compound/1879-life-wise-business/property/106227-office-for-sale-in-life-wise-in-new-cairo-by-eons-developments,,https://prod-images.cooingestate.com/processed/property_image/image/585856/high.webp,New Cairo,"Administrative, Life Wise Business",https://prod-images.cooingestate.com/processed/developer/logo_image/487/medium.webp,Administrative for sale in Life Wise Business - with in New Cairo by EONS developments.,Administrative for sale in Life Wise Business - with in New Cairo by EONS developments.,49,,,"94,500 EGP quarterly / 10 Years","4,200,000 EGP"
https://www.nawy.com/compound/545-granvia-mall-serrano/property/6305-serrano-new-plan-granvia-ground-floor,,https://www.nawy.com/assets/images/common/broken.webp,New Capital City,"Pharmacy, Granvia Mall Serrano",https://prod-images.cooingestate.com/processed/developer/logo_image/136/medium.webp,Pharmacy for sale in Granvia Mall Serrano - with in New Capital City by New Plan.,Pharmacy for sale in Granvia Mall Serrano - with in New Capital City by New Plan.,84,,,"1,136,250 EGP quarterly / 5 Years","25,250,000 EGP"
https://www.nawy.com/compound/1754-mazarine-hub/property/108247-office-for-sale-in-mazarine-hub-in-al-alamein-by-city-edge-developments,,https://prod-images.cooingestate.com/processed/property_image/image/482547/high.webp,Al Alamein,"Administrative, Mazarine Hub",https://prod-images.cooingestate.com/processed/developer/logo_image/74/medium.webp,Administrative for sale in Mazarine Hub - with in Al Alamein by City Edge Developments.,Administrative for sale in Mazarine Hub - with in Al Alamein by City Edge Developments.,57,,,"116,250 EGP quarterly / 12 Years","6,200,000 EGP"
https://www.nawy.com/compound/439-citadel-commercial-complex/property/84404-Administrative-for-sale-in-Citadel%20Commercial%20Complex-with-47-bedrooms-in-New%20Capital%20City-by-Sorouh%20Developments,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Sorouh%20Developments/citadelcommercialcomplex/4%202/high.webp,New Capital City,"Administrative, Citadel Commercial Complex",https://prod-images.cooingestate.com/processed/developer/logo_image/120/medium.webp,Administrative for sale in Citadel Commercial Complex - with in New Capital City by Sorouh Developments.,Administrative for sale in Citadel Commercial Complex - with in New Capital City by Sorouh Developments.,111,,,"733,590 EGP quarterly / 5 Years","16,302,000 EGP"
https://www.nawy.com/compound/1288-mamsha-avenues/property/108375-office-for-sale-in-mamsha-avenues-in-new-capital-city-by-city-edge-developments,,https://prod-images.cooingestate.com/processed/property_image/image/576356/high.webp,New Capital City,"Administrative, Mamsha Avenues",https://prod-images.cooingestate.com/processed/developer/logo_image/74/medium.webp,Administrative for sale in Mamsha Avenues - with in New Capital City by City Edge Developments.,Administrative for sale in Mamsha Avenues - with in New Capital City by City Edge Developments.,78,,,"36,000 EGP monthly / 10 Years","4,800,000 EGP"
https://www.nawy.com/compound/506-urbn-k/property/4700-urbn-k-office,,https://prod-images.cooingestate.com/processed/property_image/image/349335/high.webp,New Cairo,"Administrative, Urbn K",https://prod-images.cooingestate.com/processed/developer/logo_image/75/medium.webp,Administrative for sale in Urbn K - with in New Cairo by Starlight Developments.,Administrative for sale in Urbn K - with in New Cairo by Starlight Developments.,82,,,"676,500 EGP quarterly / 6 Years","18,040,000 EGP"
https://www.nawy.com/compound/1920-v40-district/property/97788-office-for-sale-in-v40-in-new-cairo-by-city-edge-developments,,https://prod-images.cooingestate.com/processed/property_image/image/522805/high.webp,New Cairo,"Administrative, V40 District",https://prod-images.cooingestate.com/processed/developer/logo_image/74/medium.webp,Administrative for sale in V40 District - with in New Cairo by City Edge Developments.,Administrative for sale in V40 District - with in New Cairo by City Edge Developments.,127,,,"1,321,787 EGP semi-annually / 9 Years","24,528,000 EGP"
https://www.nawy.com/compound/607-eleven/property/7643-eleven-retail-ground,,https://prod-images.cooingestate.com/processed/property_image/image/28081/high.webp,New Capital City,"Administrative, Eleven",https://prod-images.cooingestate.com/processed/developer/logo_image/136/medium.webp,Administrative for sale in Eleven  - with in New Capital City by New Plan.,Administrative for sale in Eleven  - with in New Capital City by New Plan.,456,,,"4,998,000 EGP quarterly / 5 Years","142,800,000 EGP"
https://www.nawy.com/compound/914-41-business-district/property/87805-Administrative-for-sale-in-41%20Business%20District-with-47-bedrooms-in-New%20Cairo-by-M%20Squared,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/M%20Squared/41businessdistrict/41%20BD1/high.webp,New Cairo,"Administrative, 41 Business District",https://prod-images.cooingestate.com/processed/developer/logo_image/66/medium.webp,Administrative for sale in 41 Business District - with in New Cairo by M Squared.,Administrative for sale in 41 Business District - with in New Cairo by M Squared.,220,,,,"18,281,182 EGP"
https://www.nawy.com/compound/980-d-line/property/36997-retail-for-sale-in-d-line-in-el-sheikh-zayed-by-la-vista-developments,,https://prod-images.cooingestate.com/processed/property_image/image/165648/high.webp,El Sheikh Zayed,"Administrative, D Line",https://prod-images.cooingestate.com/processed/developer/logo_image/11/medium.webp,Administrative for sale in D Line - with in El Sheikh Zayed by La Vista Developments.,Administrative for sale in D Line - with in El Sheikh Zayed by La Vista Developments.,71,,,"422,450 EGP quarterly / 5 Years","9,940,000 EGP"
https://www.nawy.com/compound/1206-financial-hub/property/74820-Administrative-for-sale-in-Financial%20Hub-with-47-bedrooms-in-New%20Capital%20City-by-Safwa%20Urban%20Developments%20(SUD),,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Safwa%20Urban%20Developments%20SUD/financialhub/Screenshot_1/high.webp,New Capital City,"Administrative, Financial Hub",https://prod-images.cooingestate.com/processed/developer/logo_image/258/medium.webp,Administrative for sale in Financial Hub - with in New Capital City by Safwa Urban Developments (SUD).,Administrative for sale in Financial Hub - with in New Capital City by Safwa Urban Developments (SUD).,98,,,"533,720 EGP quarterly / 6 Years","14,232,540 EGP"
https://www.nawy.com/compound/772-central-point/property/18156-central-point-retail,,https://prod-images.cooingestate.com/processed/property_image/image/62627/high.webp,New Capital City,"Administrative, Central Point",https://prod-images.cooingestate.com/processed/developer/logo_image/218/medium.webp,Administrative for sale in Central Point - with in New Capital City by Town Writers.,Administrative for sale in Central Point - with in New Capital City by Town Writers.,27,,,"41,727 EGP quarterly / 11 Years","2,295,000 EGP"
