url_path,tag,cover_image,location,property_name,developer_logo,title,description,m2,payment_plan,price,Beds,Baths
https://www.nawy.com/compound/1607-the-gryd/property/117610-Retail-for-sale-in-The%20Gryd-with-10-bedrooms-in-New%20Cairo-by-Upwyde%20Developments,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Upwyde%20Developments/thegryd/gryd%205/high.webp,New Cairo,"Retail, The Gryd",https://prod-images.cooingestate.com/processed/developer/logo_image/144/medium.webp,Retail for sale in The Gryd - with in New Cairo by Upwyde Developments.,Retail for sale in The Gryd - with in New Cairo by Upwyde Developments.,86,"Starting From 497,585 EGP quarterly / 10 Years","22,114,900 EGP",,
https://www.nawy.com/compound/1607-the-gryd/property/117609-Retail-for-sale-in-The%20Gryd-with-10-bedrooms-in-New%20Cairo-by-Upwyde%20Developments,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Upwyde%20Developments/thegryd/gryd%205/high.webp,New Cairo,"Retail, The Gryd",https://prod-images.cooingestate.com/processed/developer/logo_image/144/medium.webp,Retail for sale in The Gryd - with in New Cairo by Upwyde Developments.,Retail for sale in The Gryd - with in New Cairo by Upwyde Developments.,74,"Starting From 411,838 EGP quarterly / 10 Years","18,303,900 EGP",,
https://www.nawy.com/compound/1034-dejoya-plaza-residence/property/41228-en,,https://prod-images.cooingestate.com/processed/property_image/image/191270/high.webp,New Zayed,"Retail, Dejoya Plaza Residence",https://prod-images.cooingestate.com/processed/developer/logo_image/138/medium.webp,Retail for sale in Dejoya Plaza Residence - with in New Zayed by Taj Misr Developments.,Retail for sale in Dejoya Plaza Residence - with in New Zayed by Taj Misr Developments.,43,"173,715 EGP quarterly / 15 Years","10,971,450 EGP",,
https://www.nawy.com/compound/1518-maliv-street/property/81636-Retail-for-sale-in-Maliv%20Street-with-10-bedrooms-in-6th%20settlement-by-Kulture%20Developments,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Kulture%20Developments/malivstreet/Maliv%20st%202/high.webp,6th settlement,"Retail, Maliv Street",https://prod-images.cooingestate.com/processed/developer/logo_image/427/medium.webp,Retail for sale in Maliv Street - with in 6th settlement by Kulture Developments.,Retail for sale in Maliv Street - with in 6th settlement by Kulture Developments.,133,"545,944 EGP quarterly / 8 Years","19,411,350 EGP",,
https://www.nawy.com/compound/794-de-joya-1-strip-mall/property/40128-en,,https://prod-images.cooingestate.com/processed/property_image/image/182132/high.webp,New Capital City,"Retail, De joya 1 strip mall",https://prod-images.cooingestate.com/processed/developer/logo_image/138/medium.webp,Retail for sale in De joya 1 strip mall - with in New Capital City by Taj Misr Developments.,Retail for sale in De joya 1 strip mall - with in New Capital City by Taj Misr Developments.,61,"217,238 EGP quarterly / 10 Years","9,655,000 EGP",,
https://www.nawy.com/compound/605-east-tower/property/84898-retail-for-sale-in-east-tower,Resale,https://prod-images.cooingestate.com/processed/property_image/image/425556/high.webp,New Capital City,"Retail, East Tower",https://prod-images.cooingestate.com/processed/developer/logo_image/130/medium.webp,Retail for sale in East Tower - with in New Capital City by UC Developments.,Retail for sale in East Tower - with in New Capital City by UC Developments.,32,"5,630 EGP monthly / 10 Years","4,840,000 EGP",,
https://www.nawy.com/compound/1785-kay-business-park/property/103041-retail-ground-for-sale-in-k-business-park-in-6th-of-october-city-by-kayan-real-estate,,https://prod-images.cooingestate.com/processed/property_image/image/560908/high.webp,6th of October City,"Retail, K Business Park",https://prod-images.cooingestate.com/processed/developer/logo_image/432/medium.webp,Retail for sale in K Business Park - with in 6th of October City by Kayan Real Estate.,Retail for sale in K Business Park - with in 6th of October City by Kayan Real Estate.,31,"24,172 EGP monthly / 10 Years","4,462,500 EGP",,
https://www.nawy.com/compound/748-taj-tower/property/40027-en,,https://prod-images.cooingestate.com/processed/property_image/image/180960/high.webp,New Capital City,"Retail, Taj Tower",https://prod-images.cooingestate.com/processed/developer/logo_image/138/medium.webp,Retail for sale in Taj Tower - with in New Capital City by Taj Misr Developments.,Retail for sale in Taj Tower - with in New Capital City by Taj Misr Developments.,19,"150,480 EGP quarterly / 10 Years","6,688,000 EGP",,
https://www.nawy.com/compound/514-ezdan/property/40023-retail-for-sale-in-ezdan-in-new-capital-city-by-taj-misr-developments,,https://prod-images.cooingestate.com/processed/property_image/image/181177/high.webp,New Capital City,"Retail, Ezdan",https://prod-images.cooingestate.com/processed/developer/logo_image/138/medium.webp,Retail for sale in Ezdan - with in New Capital City by Taj Misr Developments.,Retail for sale in Ezdan - with in New Capital City by Taj Misr Developments.,93,"457,429 EGP quarterly / 7 Years","16,010,000 EGP",,
https://www.nawy.com/compound/465-midtown-solo-mall/property/81912-Retail-for-sale-in-Midtown%20Solo%20Mall-with-10-bedrooms-in-New%20Capital%20City-by-Better%20Home,,https://www.nawy.com/assets/images/common/broken.webp,New Capital City,"Retail, Midtown Solo Mall",https://prod-images.cooingestate.com/processed/developer/logo_image/122/medium.webp,Retail for sale in Midtown Solo Mall - with in New Capital City by Better Home.,Retail for sale in Midtown Solo Mall - with in New Capital City by Better Home.,265,"2,312,682 EGP quarterly / 8 Years","82,228,703 EGP",,
