url_path,tag,cover_image,location,property_name,developer_logo,title,description,m2,Beds,Baths,payment_plan,price
https://www.nawy.com/compound/1474-triangle/property/117578-Twinhouse-for-sale-in-Triangle-with-6-bedrooms-in-New%20Cairo-by-The%20Waterway%20Developments,,https://prod-images.cooingestate.com/processed/inventory/brochure_images//triangle/default3/high.webp,New Cairo,"Twinhouse, Triangle",https://prod-images.cooingestate.com/processed/developer/logo_image/64/medium.webp,Twinhouse for sale in Triangle - with 5 bedrooms in New Cairo by The Waterway Developments.,Twinhouse for sale in Triangle - with 5 bedrooms in New Cairo by The Waterway Developments.,320,5,3,"990,417 EGP quarterly / 9 Years","39,838,000 EGP"
https://www.nawy.com/compound/202-bloomfields/property/117586-twinhouse-for-sale-in-bloomfields-with-3-bedrooms-in-mostakbal-city-by-tatweer-misr,Resale,https://prod-images.cooingestate.com/processed/inventory/unlockedProperties/117586/c213bd21-fa5e-461f-9124-8cd109995574/high.webp,Mostakbal City,"Twinhouse, Bloomfields",https://prod-images.cooingestate.com/processed/developer/logo_image/33/medium.webp,Twinhouse for sale in Bloomfields  - with 3 bedrooms in Mostakbal City by Tatweer Misr.,Twinhouse for sale in Bloomfields  - with 3 bedrooms in Mostakbal City by Tatweer Misr.,195,3,3,"199,977 EGP quarterly / 4.8 Years","11,539,558 EGP"
https://www.nawy.com/compound/299-madinaty/property/117593-twinhouse-for-sale-in-madinaty-with-4-bedrooms-in-madinaty-by-talaat-moustafa-group-(tmg)-holding,Resale,https://prod-images.cooingestate.com/processed/inventory/unlockedProperties/117593/a7396def-1ab5-4bed-95fd-ab600ad1c6b5/high.webp,Madinaty,"Twinhouse, Madinaty",https://prod-images.cooingestate.com/processed/developer/logo_image/69/medium.webp,Twinhouse for sale in Madinaty - with 4 bedrooms in Madinaty by Talaat Moustafa Group (TMG) Holding.,Twinhouse for sale in Madinaty - with 4 bedrooms in Madinaty by Talaat Moustafa Group (TMG) Holding.,289,4,4,,"30,450,000 EGP"
https://www.nawy.com/compound/87-telal-sokhna/property/71860-twinhouse-for-sale-in-telal-sokhna-with-3-bedrooms-in-ain-sokhna-by-roya-developments,Resale,https://prod-images.cooingestate.com/processed/inventory/unlockedProperties/71860/ada07e2c-3561-4f30-8556-07c079df9d18/high.webp,Ain Sokhna,"Twinhouse, Telal Sokhna",https://prod-images.cooingestate.com/processed/developer/logo_image/25/medium.webp,Twinhouse for sale in Telal Sokhna - with 3 bedrooms in Ain Sokhna by Roya Developments.,Twinhouse for sale in Telal Sokhna - with 3 bedrooms in Ain Sokhna by Roya Developments.,180,3,3,,"15,000,000 EGP"
https://www.nawy.com/compound/974-saada/property/117620-twinhouse-for-sale-in-saada-with-5-bedrooms-in-new-cairo-by-horizon-egypt-development,Resale,https://prod-images.cooingestate.com/processed/inventory/unlockedProperties/117620/070b125b-0cd2-42ac-a676-cd69c68a3896/high.webp,New Cairo,"Twinhouse, Saada",https://prod-images.cooingestate.com/processed/developer/logo_image/325/medium.webp,Twinhouse for sale in Saada - with 5 bedrooms in New Cairo by Horizon Egypt Development.,Twinhouse for sale in Saada - with 5 bedrooms in New Cairo by Horizon Egypt Development.,315,5,6,"786,458 EGP quarterly / 4.8 Years","31,100,000 EGP"
https://www.nawy.com/compound/764-city-gate/property/55590-twinhouse-for-sale-in-city-gate,Resale,https://prod-images.cooingestate.com/processed/property_image/image/542461/high.webp,New Cairo,"Twinhouse, City Gate",https://prod-images.cooingestate.com/processed/developer/logo_image/226/medium.webp,Twinhouse for sale in City Gate - with 3 bedrooms in New Cairo by Qatari Diar.,Twinhouse for sale in City Gate - with 3 bedrooms in New Cairo by Qatari Diar.,270,3,3,"398,460 EGP monthly / 7 Years","36,690,000 EGP"
https://www.nawy.com/compound/43-hacienda-bay/property/15825-hacienda-bay-north-coast-twinhouse-for-sale,Nawy Now,https://prod-images.cooingestate.com/processed/property_image/image/54374/high.webp,Sidi Abdel Rahman,"Twinhouse, Hacienda Bay",https://prod-images.cooingestate.com/processed/developer/logo_image/16/medium.webp,Twinhouse for sale in Hacienda Bay - with 3 bedrooms in Sidi Abdel Rahman by Palm Hills Developments.,Twinhouse for sale in Hacienda Bay - with 3 bedrooms in Sidi Abdel Rahman by Palm Hills Developments.,409,3,3,"539,576 EGP monthly / 6 Years","46,454,472 EGP"
https://www.nawy.com/compound/1793-hyde-park-signature/property/103194-Twinhouse-for-sale-in-Hyde%20Park%20Signature-with-6-bedrooms-in-6th%20of%20October%20City-by-Hyde%20Park,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Hyde%20Park/hydeparksignature/Screenshot%202025-10-14%20173408/high.webp,6th of October City,"Twinhouse, Hyde Park Signature",https://prod-images.cooingestate.com/processed/developer/logo_image/15/medium.webp,Twinhouse for sale in Hyde Park Signature - with 4 bedrooms in 6th of October City by Hyde Park.,Twinhouse for sale in Hyde Park Signature - with 4 bedrooms in 6th of October City by Hyde Park.,215,4,4,,"31,300,000 EGP"
https://www.nawy.com/compound/69-palm-valley/property/90833-twinhouse-for-sale-in-palm-valley,Nawy Now,https://prod-images.cooingestate.com/processed/property_image/image/457759/high.webp,6th of October City,"Twinhouse, Palm Valley",https://prod-images.cooingestate.com/processed/developer/logo_image/16/medium.webp,Twinhouse for sale in Palm Valley - with 3 bedrooms in 6th of October City by Palm Hills Developments.,Twinhouse for sale in Palm Valley - with 3 bedrooms in 6th of October City by Palm Hills Developments.,390,3,5,"638,486 EGP monthly / 5 Years","43,309,162 EGP"
https://www.nawy.com/compound/1604-ciano-lagoon/property/81491-twinhouse-for-sale-in-solare-with-4-bedrooms-in-ras-el-hekma-by-misr-italia-properties,,https://prod-images.cooingestate.com/processed/property_image/image/423494/high.webp,Ras El Hekma,"Twinhouse, Ciano Lagoon",https://prod-images.cooingestate.com/processed/developer/logo_image/55/medium.webp,Twinhouse for sale in Ciano Lagoon - with 4 bedrooms in Ras El Hekma by Misr Italia Properties.,Twinhouse for sale in Ciano Lagoon - with 4 bedrooms in Ras El Hekma by Misr Italia Properties.,188,4,4,"612,000 EGP quarterly / 10 Years","27,200,000 EGP"
https://www.nawy.com/compound/181-il-bosco-new-capital/property/2009-il-bosco-twinhouse,,https://prod-images.cooingestate.com/processed/property_image/image/9117/high.webp,New Capital City,"Twinhouse, Il Bosco New Capital",https://prod-images.cooingestate.com/processed/developer/logo_image/55/medium.webp,Twinhouse for sale in Il Bosco New Capital - with 3 bedrooms in New Capital City by Misr Italia Properties.,Twinhouse for sale in Il Bosco New Capital - with 3 bedrooms in New Capital City by Misr Italia Properties.,316,3,4,"720,000 EGP quarterly / 10 Years","32,000,000 EGP"
https://www.nawy.com/compound/1638-luma-the-med/property/88988-twinhouse-for-sale-in-luma-the-med-with-4-bedrooms-in-ras-el-hekma-by-people-places,,https://prod-images.cooingestate.com/processed/property_image/image/448942/high.webp,Ras El Hekma,"Twinhouse, Luma - The Med",https://prod-images.cooingestate.com/processed/developer/logo_image/225/medium.webp,Twinhouse for sale in Luma - The Med - with 4 bedrooms in Ras El Hekma by People & Places.,Twinhouse for sale in Luma - The Med - with 4 bedrooms in Ras El Hekma by People & Places.,307,4,4,"329,828 EGP monthly / 10 Years","43,977,000 EGP"
https://www.nawy.com/compound/356-keeva/property/111302-Twinhouse-for-sale-in-Keeva%20-with-6-bedrooms-in-6th%20of%20October%20City-by-Al%20Ahly%20Sabbour%20Developments,,https://prod-images.cooingestate.com/processed/inventory/brochure_images/Al%20Ahly%20Sabbour%20Developments/keeva/Screenshot_2025-09-18_123835/high.webp,6th of October City,"Twinhouse, Keeva",https://prod-images.cooingestate.com/processed/developer/logo_image/191/medium.webp,Twinhouse for sale in Keeva  - with 4 bedrooms in 6th of October City by Al Ahly Sabbour Developments.,Twinhouse for sale in Keeva  - with 4 bedrooms in 6th of October City by Al Ahly Sabbour Developments.,265,4,4,"750,150 EGP quarterly / 10 Years","33,340,000 EGP"
https://www.nawy.com/compound/1909-vert/property/114409-twinhouse-3-bedrooms-for-sale-in-vert-by-palmier-developments-,,https://prod-images.cooingestate.com/processed/inventory/brochure_images//vert/258%203/high.webp,New Zayed,"Twinhouse, Vert",https://prod-images.cooingestate.com/processed/developer/logo_image/448/medium.webp,Twinhouse for sale in Vert - with 4 bedrooms in New Zayed by Palmier Developments .,Twinhouse for sale in Vert - with 4 bedrooms in New Zayed by Palmier Developments .,258,4,4,"371,250 EGP quarterly / 10 Years","16,500,000 EGP"
https://www.nawy.com/compound/1527-menorca-zayed/property/95523-twinhouse-for-sale-in-menorca-zayed,Resale,https://www.nawy.com/assets/images/common/broken.webp,El Sheikh Zayed,"Twinhouse, Menorca Zayed",https://prod-images.cooingestate.com/processed/developer/logo_image/361/medium.webp,Twinhouse for sale in Menorca Zayed - with 4 bedrooms in El Sheikh Zayed by MARDEV.,Twinhouse for sale in Menorca Zayed - with 4 bedrooms in El Sheikh Zayed by MARDEV.,285,4,4,"131,030 EGP monthly / 8 Years","16,000,000 EGP"
https://www.nawy.com/compound/1336-q-north/property/68291-twinhouse-for-sale-in-q-north-with-4-bedrooms-in-sidi-abdel-rahman-by-q-developments,,https://prod-images.cooingestate.com/processed/property_image/image/348884/high.webp,Sidi Abdel Rahman,"Twinhouse, Q North",https://prod-images.cooingestate.com/processed/developer/logo_image/404/medium.webp,Twinhouse for sale in Q North  - with 4 bedrooms in Sidi Abdel Rahman by Q Developments.,Twinhouse for sale in Q North  - with 4 bedrooms in Sidi Abdel Rahman by Q Developments.,200,4,3,"391,875 EGP quarterly / 10 Years","16,500,000 EGP"
